delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_rating,delivery_cost,Delivery_Status
xpressbees,electronics,bike,standard,south,rainy,96.4,8.5,3,507.5,delivered
shadowfax,electronics,scooter,same day,east,rainy,248.3,43.84,3,1473.02,delayed
ecom express,pharmacy,scooter,standard,east,cold,142.5,18.1,4,766.8,delivered
amazon logistics,pharmacy,van,standard,west,hot,126.3,15.76,4,678.78,delivered
delhivery,pharmacy,van,two day,east,clear,216.3,1.03,5,1084.59,delivered
amazon logistics,automobile parts,truck,express,east,stormy,280.9,44.62,2,1588.36,delayed
dhl,documents,van,same day,east,clear,215.3,22.63,2,1244.39,delayed
amazon logistics,furniture,ev bike,same day,west,clear,274.5,33.46,2,1572.88,failed
fedex,documents,van,express,west,clear,297.1,19.92,4,1601.26,delivered
fedex,groceries,ev van,standard,north,clear,251.5,48.85,4,1404.05,delivered
delhivery,clothing,ev van,express,north,foggy,212.8,9.12,5,1141.36,delivered
blue dart,fragile items,ev bike,two day,central,clear,146.9,43.48,5,864.94,delivered
shadowfax,cosmetics,bike,same day,north,stormy,115.3,31.37,4,770.61,delivered
shadowfax,cosmetics,ev van,same day,east,clear,207.4,40.68,5,1259.04,delivered
fedex,clothing,ev bike,same day,central,rainy,140.8,22.07,4,870.21,delivered
blue dart,clothing,truck,express,east,clear,152.2,6.88,3,831.64,delivered
fedex,fragile items,van,express,north,rainy,238.7,26.07,2,1321.71,delayed
delhivery,pharmacy,ev bike,express,south,clear,243.5,37.55,5,1380.15,delivered
blue dart,electronics,truck,same day,north,stormy,67.5,21.0,3,500.5,delayed
fedex,pharmacy,ev bike,two day,north,foggy,183.3,40.38,5,1037.64,delivered
shadowfax,automobile parts,truck,standard,south,cold,291.4,42.76,4,1585.28,delivered
shadowfax,cosmetics,ev bike,express,south,hot,268.2,40.6,5,1512.8,delivered
ecom express,documents,ev van,express,west,foggy,11.6,22.58,3,175.74,delayed
amazon logistics,documents,ev bike,two day,central,foggy,255.0,18.76,4,1331.28,delivered
dhl,cosmetics,scooter,standard,east,clear,263.0,23.93,4,1386.79,delivered
amazon logistics,groceries,ev van,standard,east,stormy,82.2,17.59,3,463.77,delivered
delhivery,cosmetics,ev bike,same day,central,stormy,290.6,10.27,2,1583.81,delayed
amazon logistics,automobile parts,van,express,south,foggy,129.1,16.05,2,743.65,delayed
dhl,groceries,bike,standard,east,rainy,225.0,24.71,5,1199.13,delivered
xpressbees,pharmacy,ev van,same day,east,stormy,13.4,29.59,5,255.77,delivered
ecom express,furniture,truck,two day,central,stormy,49.8,49.21,5,396.63,delivered
xpressbees,furniture,van,standard,south,rainy,123.7,34.16,4,720.98,delivered
ecom express,electronics,truck,same day,east,hot,30.4,18.28,4,306.84,delivered
delhivery,automobile parts,bike,express,south,rainy,177.2,7.29,2,957.87,delayed
blue dart,furniture,ev bike,standard,south,foggy,78.4,42.76,5,520.28,delivered
shadowfax,documents,scooter,same day,west,cold,86.0,16.26,5,578.78,delivered
fedex,pharmacy,scooter,two day,central,hot,201.3,47.11,4,1147.83,delivered
blue dart,groceries,truck,express,north,foggy,150.8,9.86,3,833.58,delayed
xpressbees,fragile items,truck,standard,central,stormy,66.0,26.4,5,409.2,delivered
delhivery,cosmetics,bike,standard,east,foggy,64.1,35.4,4,426.7,delivered
ecom express,groceries,truck,same day,central,rainy,100.0,9.07,5,627.21,delivered
blue dart,cosmetics,bike,express,west,clear,95.9,6.24,4,548.22,delivered
fedex,electronics,ev van,same day,north,hot,277.5,16.33,5,1536.49,delivered
amazon logistics,automobile parts,van,standard,north,cold,224.4,49.11,5,1269.33,delivered
fedex,furniture,van,same day,central,cold,81.3,20.98,4,569.44,delivered
xpressbees,pharmacy,truck,standard,west,foggy,284.5,16.76,3,1472.78,delivered
xpressbees,pharmacy,bike,standard,central,foggy,274.9,18.58,5,1430.24,delivered
ecom express,documents,bike,standard,north,hot,257.0,49.52,4,1434.34,delivered
fedex,cosmetics,ev van,two day,north,foggy,219.8,4.73,4,1113.19,delivered
ecom express,groceries,truck,two day,central,hot,231.1,1.03,4,1158.59,delivered
fedex,cosmetics,scooter,express,central,foggy,142.7,27.58,2,846.24,delayed
ecom express,electronics,truck,standard,south,cold,88.7,34.5,5,547.0,delivered
xpressbees,clothing,ev van,two day,central,cold,157.7,5.96,5,806.38,delivered
blue dart,automobile parts,ev bike,standard,north,cold,228.7,5.12,4,1158.86,delivered
shadowfax,cosmetics,van,express,south,hot,114.9,30.42,4,715.76,delivered
amazon logistics,clothing,truck,two day,north,clear,99.0,43.93,4,626.79,delivered
blue dart,clothing,ev van,express,east,hot,45.8,16.57,3,328.71,delivered
amazon logistics,furniture,scooter,two day,east,clear,229.5,21.01,4,1210.53,delivered
delhivery,electronics,ev bike,express,west,hot,199.4,3.75,2,1058.25,failed
amazon logistics,groceries,ev van,express,south,cold,163.4,43.69,1,998.07,failed
amazon logistics,documents,van,express,east,cold,92.9,5.46,5,530.88,delivered
blue dart,clothing,ev van,two day,east,rainy,166.7,18.23,3,888.19,delivered
xpressbees,documents,bike,express,south,hot,17.1,8.61,4,161.33,delivered
blue dart,documents,van,two day,central,cold,46.4,18.89,4,288.67,delivered
shadowfax,electronics,scooter,two day,central,clear,89.5,46.69,4,587.57,delivered
ecom express,pharmacy,bike,same day,north,foggy,30.5,33.88,4,354.14,delivered
blue dart,documents,truck,express,south,rainy,9.8,12.37,1,136.11,failed
blue dart,electronics,truck,same day,south,foggy,68.6,45.42,4,579.26,delivered
dhl,electronics,van,express,south,cold,264.6,28.42,2,1458.26,delayed
dhl,automobile parts,ev van,same day,north,rainy,3.6,29.0,4,201.5,delivered
delhivery,clothing,scooter,same day,south,hot,240.4,17.91,5,1355.73,delivered
fedex,automobile parts,ev bike,two day,west,cold,171.4,10.06,5,887.18,delivered
ekart,clothing,truck,two day,south,cold,15.7,40.19,3,199.07,delivered
blue dart,electronics,ev van,express,west,clear,126.1,44.35,5,813.55,delivered
ekart,furniture,bike,two day,north,cold,190.4,10.05,5,982.15,delivered
delhivery,fragile items,ev van,two day,central,stormy,25.3,2.01,3,132.53,delivered
ecom express,electronics,bike,express,east,cold,33.2,27.61,5,298.83,delivered
ecom express,documents,ev bike,standard,west,hot,33.2,46.74,4,306.22,delivered
dhl,cosmetics,ev bike,express,east,hot,226.5,16.9,2,1233.2,delayed
amazon logistics,electronics,bike,same day,west,foggy,26.8,31.38,4,328.14,delivered
fedex,clothing,bike,standard,east,clear,188.0,7.61,4,962.83,delivered
ecom express,documents,bike,two day,north,rainy,90.7,40.27,5,574.31,delivered
blue dart,fragile items,bike,two day,south,stormy,179.8,28.83,3,985.49,delivered
ekart,fragile items,bike,standard,central,clear,8.3,28.32,4,126.46,delivered
xpressbees,cosmetics,ev van,express,south,clear,158.1,24.49,4,913.97,delivered
blue dart,pharmacy,scooter,express,north,rainy,246.5,34.6,2,1386.3,delayed
amazon logistics,electronics,ev bike,two day,east,hot,233.8,13.17,5,1208.51,delivered
dhl,documents,bike,two day,west,cold,160.2,43.65,4,931.95,delivered
dhl,automobile parts,truck,same day,central,hot,64.4,33.53,4,522.59,delivered
fedex,cosmetics,van,same day,central,foggy,228.8,26.91,2,1324.73,delayed
amazon logistics,documents,truck,two day,central,stormy,163.4,47.93,5,960.79,delivered
delhivery,cosmetics,ev bike,same day,south,clear,87.7,30.35,4,629.55,delivered
xpressbees,cosmetics,scooter,same day,west,stormy,278.6,47.01,2,1632.7206,delayed
amazon logistics,cosmetics,bike,two day,south,foggy,160.1,8.75,4,826.75,delivered
amazon logistics,automobile parts,scooter,same day,central,foggy,271.4,6.79,2,1477.37,delayed
ecom express,furniture,ev bike,standard,south,stormy,129.7,9.4,4,676.7,delivered
amazon logistics,electronics,truck,express,west,foggy,136.6,41.97,3,858.91,delayed
fedex,fragile items,ev van,same day,central,stormy,108.1,30.27,4,731.31,delivered
fedex,electronics,ev van,two day,east,cold,114.4,49.52,5,721.13,delivered
dhl,pharmacy,bike,same day,east,clear,103.1,8.54,5,641.12,delivered
amazon logistics,fragile items,bike,express,east,cold,227.7,28.21,3,1273.13,delayed
dhl,clothing,bike,standard,south,rainy,84.8,6.13,5,442.39,delivered
shadowfax,fragile items,scooter,two day,north,hot,67.7,43.76,4,469.78,delivered
delhivery,fragile items,van,standard,east,hot,263.1,42.36,4,1442.58,delivered
ekart,pharmacy,bike,standard,west,cold,293.5,39.75,3,1586.75,delivered
ekart,documents,ev van,same day,west,cold,155.2,11.99,5,911.97,delivered
dhl,clothing,van,same day,north,rainy,49.7,22.45,5,415.85,delivered
fedex,cosmetics,ev bike,same day,west,stormy,30.7,43.24,3,383.22,delivered
xpressbees,clothing,ev van,express,south,cold,184.4,31.84,3,1067.52,delayed
dhl,cosmetics,bike,same day,west,clear,234.4,4.85,2,1286.55,delayed
blue dart,clothing,van,express,east,stormy,214.7,40.4,2,1244.7,delayed
fedex,groceries,ev bike,express,central,cold,268.7,19.22,2,1451.16,delayed
delhivery,furniture,ev van,standard,north,foggy,125.2,5.68,5,643.04,delivered
amazon logistics,clothing,ev bike,same day,south,foggy,281.8,22.62,4,1576.86,delivered
xpressbees,fragile items,scooter,same day,west,foggy,205.1,2.95,2,1134.35,failed
ekart,cosmetics,scooter,express,south,hot,224.5,3.73,5,1183.69,delivered
ekart,electronics,ev bike,same day,south,clear,191.4,19.49,3,1115.47,delayed
delhivery,fragile items,truck,standard,west,rainy,25.5,41.04,5,250.62,delivered
dhl,cosmetics,scooter,same day,east,clear,263.0,3.45,5,1425.35,delivered
delhivery,fragile items,van,same day,north,cold,80.3,21.26,5,565.28,delivered
ecom express,pharmacy,ev van,same day,south,hot,30.4,28.78,5,338.34,delivered
blue dart,pharmacy,scooter,same day,west,rainy,272.3,43.87,2,1593.11,delayed
shadowfax,groceries,scooter,two day,north,stormy,83.2,29.03,4,503.09,delivered
shadowfax,documents,ev van,two day,central,hot,296.7,26.44,5,1562.82,delivered
ekart,documents,ev bike,express,south,rainy,257.6,22.7,5,1406.1,delivered
amazon logistics,documents,scooter,express,east,foggy,198.9,27.41,2,1126.73,delayed
delhivery,documents,scooter,same day,west,foggy,266.8,29.4,2,1522.2,delayed
amazon logistics,cosmetics,ev van,two day,south,foggy,244.7,48.39,5,1368.67,delivered
xpressbees,furniture,scooter,standard,east,stormy,197.2,23.56,3,1056.68,delivered
shadowfax,groceries,ev bike,two day,central,rainy,175.8,8.79,3,905.37,delivered
amazon logistics,cosmetics,van,express,central,rainy,221.9,20.71,2,1221.63,delayed
dhl,cosmetics,scooter,express,south,cold,57.7,32.55,3,436.15,delayed
ekart,automobile parts,van,express,central,rainy,198.5,15.15,2,1087.95,delayed
blue dart,documents,ev bike,same day,north,foggy,18.3,39.29,5,309.37,delivered
ecom express,documents,ev bike,express,central,hot,262.2,44.67,3,1495.01,delivered
dhl,electronics,bike,two day,east,foggy,211.4,30.08,5,1147.24,delivered
amazon logistics,clothing,ev van,express,south,foggy,38.1,47.0,1,381.5,failed
ekart,pharmacy,scooter,express,north,clear,289.1,5.45,3,1511.85,delayed
ecom express,fragile items,truck,standard,west,foggy,288.1,19.32,4,1498.46,delivered
amazon logistics,pharmacy,scooter,same day,north,clear,170.2,4.53,3,964.59,delivered
ekart,automobile parts,scooter,two day,west,clear,3.6,29.38,3,103.14,delivered
fedex,pharmacy,ev van,same day,north,foggy,259.9,35.98,3,1507.44,delayed
amazon logistics,fragile items,ev bike,two day,east,stormy,270.2,7.13,1,1372.39,failed
ekart,documents,ev van,express,east,clear,42.4,2.09,2,268.27,delayed
delhivery,documents,bike,same day,central,clear,144.6,48.3,5,967.9,delivered
ekart,fragile items,scooter,two day,east,stormy,279.6,42.8,3,1526.4,delivered
shadowfax,pharmacy,bike,same day,south,stormy,253.3,9.63,2,1395.39,delayed
blue dart,furniture,van,standard,west,rainy,286.4,21.01,5,1495.03,delivered
dhl,automobile parts,van,two day,central,clear,213.8,3.02,3,1078.06,delivered
ecom express,cosmetics,ev van,standard,east,hot,77.1,15.42,5,431.76,delivered
delhivery,documents,scooter,standard,west,cold,213.8,11.03,5,1102.09,delivered
delhivery,pharmacy,truck,standard,central,stormy,130.1,22.79,3,718.87,delivered
dhl,groceries,ev van,same day,east,rainy,211.9,7.79,2,1182.87,delayed
delhivery,groceries,bike,two day,central,foggy,143.0,49.52,4,863.86,delivered
delhivery,fragile items,van,same day,central,cold,255.9,5.74,2,1396.72,delayed
blue dart,cosmetics,van,express,north,rainy,184.2,36.39,2,1080.17,delayed
delhivery,electronics,bike,express,east,clear,114.3,15.6,4,668.3,delivered
amazon logistics,pharmacy,van,same day,north,hot,80.9,44.39,4,637.67,delivered
blue dart,pharmacy,scooter,standard,west,stormy,217.9,2.93,4,1098.29,delivered
fedex,furniture,scooter,standard,west,cold,263.5,41.15,5,1440.95,delivered
xpressbees,documents,scooter,express,north,foggy,282.3,12.51,1,1499.03,failed
shadowfax,pharmacy,truck,express,north,hot,270.4,43.32,2,1531.96,failed
shadowfax,automobile parts,van,same day,west,foggy,9.1,26.9,4,226.2,delivered
dhl,electronics,ev bike,same day,south,hot,182.9,3.26,5,1024.28,delivered
amazon logistics,pharmacy,van,standard,north,hot,215.8,6.84,5,1099.52,delivered
delhivery,automobile parts,ev bike,standard,north,rainy,66.1,36.74,5,440.72,delivered
delhivery,groceries,truck,standard,central,cold,92.9,25.03,4,539.59,delivered
amazon logistics,groceries,van,express,east,foggy,217.1,44.32,3,1268.46,delayed
delhivery,documents,ev bike,same day,west,foggy,280.4,20.68,2,1564.04,delayed
blue dart,documents,ev bike,express,east,clear,59.6,47.42,2,490.26,delayed
blue dart,groceries,truck,standard,central,rainy,224.0,13.43,3,1160.29,delivered
delhivery,cosmetics,truck,standard,central,clear,128.3,16.11,3,689.83,delivered
blue dart,clothing,ev bike,same day,central,cold,93.9,25.47,3,645.91,delivered
shadowfax,documents,ev bike,express,west,foggy,89.0,11.98,3,530.94,delayed
shadowfax,automobile parts,ev bike,two day,north,clear,247.2,16.15,5,1284.45,delivered
delhivery,automobile parts,bike,same day,east,rainy,18.4,14.53,4,235.59,delivered
ecom express,documents,scooter,express,north,stormy,224.8,48.46,2,1319.38,delayed
delhivery,groceries,van,standard,east,stormy,78.9,38.08,3,508.74,delivered
xpressbees,groceries,truck,same day,east,stormy,95.6,5.75,2,595.25,delayed
amazon logistics,documents,van,express,east,cold,214.0,6.33,5,1138.99,delivered
fedex,clothing,ev bike,same day,central,cold,147.6,40.38,4,959.14,delivered
fedex,electronics,van,express,south,foggy,18.3,28.1,3,225.8,delayed
delhivery,pharmacy,truck,standard,central,hot,237.5,10.39,3,1218.67,delivered
ekart,electronics,ev bike,two day,west,clear,137.0,23.22,4,754.66,delivered
amazon logistics,pharmacy,van,standard,east,clear,118.6,48.13,5,737.39,delivered
dhl,electronics,truck,same day,east,rainy,166.6,37.41,4,1045.23,delivered
delhivery,clothing,ev bike,standard,south,foggy,202.3,32.44,4,1108.82,delivered
xpressbees,electronics,van,two day,west,foggy,284.2,38.11,5,1535.33,delivered
xpressbees,groceries,ev van,express,west,cold,20.3,47.43,5,293.79,delivered
delhivery,documents,truck,same day,north,foggy,202.6,29.66,2,1201.98,delayed
delhivery,documents,ev bike,standard,central,foggy,47.1,36.6,5,345.3,delivered
blue dart,documents,ev bike,two day,north,stormy,3.6,23.96,5,95.6674,delivered
delhivery,automobile parts,ev bike,standard,north,clear,248.6,39.51,3,1361.53,delivered
shadowfax,groceries,ev bike,standard,east,cold,285.9,32.75,3,1527.75,delivered
blue dart,fragile items,truck,express,north,rainy,92.7,22.2,3,580.1,delayed
shadowfax,documents,ev bike,same day,west,cold,138.6,47.54,3,935.62,delivered
blue dart,furniture,van,express,south,hot,176.9,15.3,3,980.4,delayed
ecom express,electronics,ev van,express,south,stormy,181.4,46.09,2,1095.27,delayed
xpressbees,documents,truck,standard,east,cold,250.3,10.14,3,1281.92,delivered
dhl,electronics,ev bike,same day,central,clear,103.8,40.36,4,740.08,delivered
dhl,electronics,scooter,express,north,hot,183.0,26.92,1,1045.76,failed
delhivery,clothing,scooter,two day,central,rainy,27.1,29.09,5,222.77,delivered
delhivery,clothing,truck,express,west,cold,246.8,12.21,2,1320.63,delayed
fedex,documents,ev van,same day,east,rainy,199.4,23.35,2,1167.05,delayed
delhivery,cosmetics,ev bike,express,central,foggy,180.4,22.33,3,1018.99,delayed
shadowfax,clothing,scooter,standard,west,hot,18.2,42.24,5,217.72,delivered
dhl,pharmacy,ev van,same day,central,foggy,16.0,36.53,5,289.59,delivered
blue dart,groceries,truck,same day,east,cold,26.2,26.3,4,309.9,delivered
fedex,groceries,truck,two day,east,foggy,70.2,41.93,5,476.79,delivered
fedex,automobile parts,ev van,same day,south,stormy,129.0,35.59,4,851.77,delivered
xpressbees,furniture,ev bike,same day,south,rainy,131.7,49.06,4,905.68,delivered
blue dart,documents,scooter,standard,north,cold,47.8,10.72,4,271.16,delivered
fedex,documents,bike,two day,south,clear,133.7,17.99,5,722.47,delivered
amazon logistics,clothing,scooter,standard,central,rainy,155.3,31.26,5,870.28,delivered
ekart,fragile items,scooter,same day,south,hot,30.9,45.41,4,390.73,delivered
amazon logistics,pharmacy,scooter,same day,east,hot,38.1,35.01,4,395.53,delivered
xpressbees,documents,truck,two day,south,rainy,223.4,28.46,4,1202.38,delivered
dhl,furniture,ev van,express,central,rainy,297.1,14.74,3,1590.22,delayed
amazon logistics,furniture,truck,express,east,rainy,56.6,35.22,3,438.66,delayed
ecom express,electronics,van,standard,south,stormy,139.7,34.16,5,800.98,delivered
ekart,automobile parts,scooter,express,central,foggy,57.1,42.85,3,464.05,delayed
ecom express,fragile items,ev bike,two day,north,clear,18.7,22.34,4,160.52,delivered
delhivery,furniture,truck,standard,north,foggy,54.9,6.25,4,293.25,delivered
blue dart,cosmetics,bike,two day,north,stormy,108.6,6.86,4,563.58,delivered
delhivery,electronics,van,standard,north,foggy,164.9,40.42,3,945.76,delivered
dhl,automobile parts,scooter,express,north,cold,157.6,5.74,2,855.22,delayed
ecom express,pharmacy,van,express,west,stormy,135.7,28.03,3,812.59,delayed
shadowfax,automobile parts,bike,two day,west,rainy,108.5,21.65,3,607.45,delivered
shadowfax,fragile items,scooter,same day,north,stormy,115.5,15.49,3,723.97,delayed
delhivery,pharmacy,ev bike,two day,north,cold,3.6,41.17,3,132.01,delivered
fedex,documents,scooter,two day,central,cold,67.8,4.93,5,353.79,delivered
dhl,cosmetics,bike,same day,central,clear,53.1,28.58,3,451.24,delivered
fedex,furniture,scooter,same day,west,rainy,175.2,18.84,3,1032.52,delivered
ekart,groceries,ev van,same day,west,stormy,134.6,4.43,3,786.29,delayed
blue dart,cosmetics,ev van,same day,east,clear,66.5,38.0,5,546.5,delivered
ecom express,fragile items,truck,two day,south,foggy,40.3,19.66,4,260.48,delivered
shadowfax,clothing,ev bike,express,south,stormy,203.1,13.55,2,1106.15,delayed
dhl,furniture,ev van,same day,east,clear,270.2,38.65,3,1566.95,delayed
delhivery,fragile items,scooter,express,north,clear,77.4,8.58,3,462.74,delivered
xpressbees,documents,van,express,central,stormy,184.8,46.83,3,1114.49,delayed
fedex,groceries,bike,express,central,foggy,49.2,12.3,2,332.9,delayed
dhl,electronics,truck,standard,north,clear,73.2,23.67,5,437.01,delivered
xpressbees,documents,ev van,two day,east,clear,55.8,15.56,3,325.68,delivered
blue dart,pharmacy,bike,express,south,foggy,163.1,31.31,3,959.43,delayed
fedex,automobile parts,ev bike,same day,south,cold,13.7,45.56,5,305.18,delivered
amazon logistics,furniture,van,standard,south,rainy,140.1,15.13,4,745.89,delivered
fedex,documents,ev van,same day,east,foggy,270.4,13.21,2,1491.63,delayed
delhivery,fragile items,truck,standard,central,clear,42.8,27.43,5,296.29,delivered
ekart,clothing,van,same day,west,foggy,177.6,11.58,5,1022.74,delivered
delhivery,clothing,bike,express,central,clear,13.5,1.46,3,121.88,delivered
fedex,furniture,truck,standard,south,rainy,165.6,39.46,3,946.38,delivered
dhl,fragile items,ev van,express,central,stormy,238.1,36.89,2,1351.17,delayed
blue dart,clothing,bike,standard,east,foggy,59.2,36.54,4,405.62,delivered
xpressbees,electronics,bike,standard,south,rainy,115.5,32.04,5,673.62,delivered
blue dart,cosmetics,ev van,two day,north,clear,125.5,44.37,5,760.61,delivered
dhl,pharmacy,scooter,two day,central,rainy,258.9,29.26,5,1382.28,delivered
ecom express,cosmetics,truck,two day,north,hot,13.7,30.6,4,160.3,delivered
delhivery,groceries,truck,standard,east,rainy,95.8,40.13,4,599.39,delivered
ekart,clothing,van,same day,central,rainy,30.1,43.25,3,380.25,delivered
ekart,documents,van,same day,west,clear,198.1,41.92,3,1216.26,delivered
fedex,furniture,ev bike,express,north,stormy,154.4,33.82,2,923.46,failed
ekart,groceries,scooter,same day,central,clear,160.5,6.69,4,922.57,delivered
ecom express,automobile parts,scooter,express,east,rainy,53.3,20.53,2,378.09,delayed
delhivery,documents,ev van,two day,south,foggy,111.8,22.63,4,626.89,delivered
ecom express,documents,bike,standard,south,stormy,262.4,32.83,4,1410.49,delivered
fedex,clothing,scooter,express,central,hot,185.8,35.49,2,1085.47,delayed
delhivery,pharmacy,ev bike,two day,east,hot,258.6,28.33,5,1377.99,delivered
blue dart,fragile items,truck,standard,south,clear,189.5,3.58,4,958.24,delivered
delhivery,fragile items,scooter,two day,south,stormy,172.7,7.63,4,886.39,delivered
ekart,documents,bike,same day,central,rainy,269.7,2.48,2,1455.94,delayed
ekart,groceries,van,two day,south,stormy,150.8,45.65,5,890.95,delivered
shadowfax,cosmetics,bike,same day,east,cold,215.7,6.5,3,1198.0,delivered
ekart,electronics,truck,two day,north,clear,36.6,21.19,4,246.57,delivered
xpressbees,cosmetics,van,two day,south,cold,56.2,6.59,5,300.77,delivered
ekart,clothing,ev van,two day,west,cold,137.0,21.2,5,748.6,delivered
ekart,electronics,ev bike,standard,west,cold,103.7,1.29,5,522.37,delivered
ekart,clothing,van,two day,central,clear,70.8,27.17,4,435.51,delivered
ekart,fragile items,truck,express,north,stormy,99.6,31.09,3,641.27,delayed
amazon logistics,cosmetics,ev bike,two day,east,rainy,205.4,36.96,4,1137.88,delivered
ekart,fragile items,scooter,standard,north,clear,193.0,0.67,5,966.29,delivered
ekart,cosmetics,truck,standard,west,clear,36.0,47.04,4,321.12,delivered
ecom express,fragile items,bike,same day,north,clear,295.5,16.38,4,1626.64,delivered
shadowfax,furniture,ev van,standard,north,foggy,210.1,0.67,5,1052.48,delivered
blue dart,fragile items,ev van,express,central,rainy,67.8,33.97,3,490.91,delayed
amazon logistics,electronics,ev van,express,north,clear,27.0,40.41,3,306.23,delayed
blue dart,pharmacy,scooter,standard,central,foggy,266.8,23.28,4,1403.84,delivered
blue dart,cosmetics,ev bike,same day,west,foggy,109.5,39.88,3,767.14,delivered
fedex,automobile parts,truck,same day,east,foggy,69.8,1.49,4,453.47,delivered
xpressbees,groceries,ev van,same day,north,stormy,85.3,9.82,4,555.96,delivered
blue dart,clothing,bike,express,south,rainy,81.2,23.05,2,525.15,delayed
xpressbees,cosmetics,van,standard,south,rainy,233.0,23.16,4,1234.48,delivered
blue dart,electronics,bike,standard,south,rainy,193.7,34.66,3,1072.48,delivered
amazon logistics,cosmetics,ev van,express,south,rainy,104.7,23.38,3,643.64,delayed
delhivery,cosmetics,scooter,standard,north,cold,99.8,48.85,3,645.55,delivered
fedex,cosmetics,bike,same day,south,stormy,287.1,17.04,2,1586.62,failed
shadowfax,documents,bike,two day,north,clear,193.6,2.86,5,976.58,delivered
ekart,clothing,ev van,express,central,rainy,217.5,38.69,2,1253.57,delayed
shadowfax,pharmacy,truck,same day,central,clear,90.1,25.61,5,627.33,delivered
xpressbees,groceries,bike,two day,south,cold,297.1,17.97,5,1539.41,delivered
shadowfax,groceries,van,express,north,clear,224.2,37.45,3,1283.35,delayed
dhl,clothing,van,standard,central,clear,72.9,2.06,4,370.68,delivered
xpressbees,groceries,ev bike,express,north,stormy,276.7,40.13,1,1553.89,failed
xpressbees,fragile items,scooter,standard,west,foggy,117.2,4.25,4,598.75,delivered
ekart,automobile parts,bike,two day,north,rainy,21.3,13.14,4,145.92,delivered
xpressbees,groceries,ev bike,two day,north,foggy,113.2,27.5,5,648.5,delivered
ecom express,clothing,van,standard,central,foggy,243.2,3.53,5,1226.59,delivered
amazon logistics,electronics,bike,express,east,clear,130.4,27.73,2,785.19,delayed
xpressbees,clothing,van,standard,south,foggy,156.7,3.34,4,793.52,delivered
xpressbees,electronics,van,two day,north,hot,145.3,4.69,5,740.57,delivered
amazon logistics,cosmetics,scooter,two day,west,cold,286.6,0.92,5,1435.76,delivered
ekart,pharmacy,scooter,express,east,stormy,14.1,10.52,2,152.06,delayed
xpressbees,fragile items,bike,same day,north,clear,83.2,34.35,3,619.05,delivered
blue dart,documents,ev van,same day,west,hot,233.8,8.53,5,1294.59,delivered
dhl,fragile items,bike,two day,east,rainy,18.9,4.16,3,106.98,delivered
ecom express,clothing,truck,two day,central,clear,104.4,49.16,4,669.48,delivered
ekart,documents,bike,same day,west,hot,260.5,48.27,5,1547.31,delivered
amazon logistics,automobile parts,ev bike,express,east,rainy,30.7,11.98,3,239.44,delayed
dhl,fragile items,van,same day,north,stormy,50.3,5.74,3,368.72,delivered
blue dart,pharmacy,ev van,same day,south,stormy,98.6,42.2,5,719.6,delivered
delhivery,pharmacy,bike,same day,south,stormy,216.5,31.69,1,1277.57,failed
fedex,cosmetics,scooter,standard,central,foggy,111.0,1.19,4,558.57,delivered
fedex,fragile items,van,standard,south,foggy,248.7,38.79,4,1359.87,delivered
fedex,documents,bike,same day,east,clear,3.6,39.83,3,230.99,delivered
delhivery,electronics,van,two day,central,hot,20.3,0.67,4,102.61,delivered
ekart,clothing,van,two day,north,hot,252.4,17.52,3,1314.56,delivered
delhivery,groceries,van,same day,west,clear,115.7,18.35,3,733.55,delivered
ekart,documents,truck,two day,central,hot,151.6,3.91,5,769.73,delivered
ecom express,furniture,scooter,standard,central,cold,271.9,24.66,5,1433.48,delivered
blue dart,clothing,scooter,two day,east,hot,41.1,7.69,5,228.57,delivered
xpressbees,pharmacy,van,standard,south,rainy,188.7,0.92,5,946.26,delivered
delhivery,cosmetics,truck,express,north,hot,224.1,1.86,4,1176.08,delivered
shadowfax,electronics,van,express,east,rainy,138.8,32.52,2,841.56,failed
ecom express,documents,van,standard,central,hot,75.4,41.36,4,501.08,delivered
dhl,furniture,ev van,express,east,rainy,6.9,6.38,3,103.64,delayed
blue dart,electronics,truck,same day,west,cold,172.1,8.97,4,987.41,delivered
shadowfax,pharmacy,bike,standard,south,hot,56.9,28.38,5,369.64,delivered
ekart,cosmetics,van,standard,west,hot,73.8,19.27,3,426.81,delivered
ecom express,groceries,bike,express,east,stormy,101.6,17.51,2,610.53,delayed
amazon logistics,electronics,ev van,standard,south,clear,176.1,22.9,5,949.2,delivered
shadowfax,furniture,ev bike,two day,south,clear,265.8,26.6,4,1408.8,delivered
shadowfax,fragile items,van,express,west,hot,223.5,39.98,1,1287.44,failed
shadowfax,documents,scooter,same day,north,cold,167.0,40.2,4,1055.6,delivered
xpressbees,fragile items,ev bike,same day,central,foggy,31.4,31.4,5,351.2,delivered
fedex,fragile items,scooter,express,central,cold,55.4,8.69,2,353.07,delayed
ecom express,documents,ev bike,express,central,rainy,81.2,8.21,1,480.63,failed
dhl,pharmacy,ev van,standard,central,foggy,178.7,29.99,4,983.47,delivered
delhivery,electronics,scooter,two day,central,foggy,204.0,26.98,5,1100.94,delivered
xpressbees,furniture,truck,two day,central,clear,87.6,13.45,5,478.35,delivered
shadowfax,fragile items,bike,same day,east,rainy,168.5,32.0,2,1038.5,delayed
